#auto generated file!
180.0;117;127;156
186.0;119;131;150
192.0;124;128;148
198.0;123;128;149
204.0;128;129;143
210.0;128;129;143
216.0;129;128;143
222.0;129;130;141
228.0;129;133;138
234.0;128;129;143
240.0;128;131;141
246.0;128;130;142
252.0;129;130;141
258.0;129;131;140
264.0;129;132;139
270.0;128;134;138
276.0;128;134;138
282.0;128;135;137
288.0;128;132;140
294.0;127;132;141
300.0;127;135;138
306.0;125;135;140
312.0;123;137;140
318.0;126;136;138
324.0;127;135;138
330.0;127;135;138
336.0;126;139;135
342.0;132;136;132
348.0;132;133;135
354.0;133;132;135
360.0;130;135;135
366.0;130;132;138
372.0;130;131;139
378.0;129;129;142
384.0;130;128;142
390.0;132;127;141
396.0;130;129;141
402.0;132;131;137
408.0;132;131;137
414.0;131;129;140
420.0;131;130;139
426.0;131;134;135
432.0;134;133;133
438.0;137;131;132
444.0;139;131;130
450.0;140;131;129
456.0;145;130;125
462.0;143;128;129
468.0;146;122;132
474.0;146;121;133
480.0;144;122;134
486.0;143;125;132
492.0;143;128;129
498.0;143;127;130
504.0;145;128;127
510.0;146;129;125
516.0;147;130;123
522.0;146;129;125
528.0;142;131;127
534.0;143;131;126
540.0;142;133;125
546.0;142;133;125
552.0;141;134;125
558.0;141;130;129
564.0;142;130;128
570.0;142;128;130
576.0;140;132;128
582.0;139;134;127
588.0;139;134;127
594.0;141;133;126
600.0;141;134;125
606.0;140;134;126
612.0;141;133;126
618.0;140;131;129
624.0;139;132;129
630.0;144;133;123
636.0;146;129;125
642.0;146;128;126
648.0;148;128;124
654.0;149;129;122
660.0;148;127;125
666.0;150;128;122
672.0;151;129;120
678.0;148;130;122
684.0;150;129;121
690.0;150;128;122
696.0;149;128;123
702.0;147;129;124
708.0;146;129;125
714.0;144;133;123
720.0;142;134;124
726.0;142;135;123
732.0;144;135;121
738.0;140;139;121
744.0;144;139;117
750.0;143;139;118
756.0;145;135;120
762.0;145;133;122
768.0;147;133;120
774.0;146;130;124
780.0;145;133;122
786.0;148;133;119
792.0;150;133;117
798.0;155;130;115
804.0;158;128;114
810.0;158;130;112
816.0;155;132;113
822.0;157;133;110
828.0;154;134;112
834.0;153;135;112
840.0;157;137;106
846.0;155;137;108
852.0;157;135;108
858.0;160;128;112
864.0;162;124;114
870.0;160;126;114
876.0;160;126;114
882.0;158;124;118
888.0;157;126;117
894.0;156;128;116
900.0;157;126;117
906.0;155;132;113
912.0;154;134;112
918.0;153;133;114
924.0;152;132;116
930.0;153;135;112
936.0;155;133;112
942.0;157;130;113
948.0;159;128;113
954.0;157;125;118
960.0;157;124;119
966.0;157;124;119
972.0;155;127;118
978.0;152;128;120
984.0;152;129;119
990.0;153;130;117
996.0;152;130;118
1002.0;151;127;122
1008.0;151;125;124
1014.0;148;126;126
1020.0;146;129;125
1026.0;143;129;128
1032.0;138;132;130
1038.0;138;127;135
1044.0;141;129;130
1050.0;141;130;129
1056.0;140;132;128
1062.0;141;132;127
1068.0;143;130;127
1074.0;144;133;123
1080.0;143;134;123
1086.0;146;132;122
1092.0;146;131;123
1098.0;145;131;124
1104.0;145;130;125
1110.0;143;128;129
1116.0;142;128;130
1122.0;138;129;133
1128.0;136;133;131
1134.0;136;131;133
1140.0;134;133;133
1146.0;134;132;134
1152.0;137;130;133
1158.0;137;129;134
1164.0;136;128;136
1170.0;138;126;136
1176.0;139;126;135
1182.0;141;126;133
1188.0;139;126;135
1194.0;139;125;136
